ucas_provider,cah1,exposure_alljobs_beta,n_people
E14 University of East Anglia UEA,(CAH17) business and management,0.517537342345045,2639
E14 University of East Anglia UEA,(CAH22) education and teaching,0.381772744497221,270
E28 University of East London,(CAH01) medicine and dentistry,0.359074550777639,56
E28 University of East London,(CAH02) subjects allied to medicine,0.375986022995645,18
E28 University of East London,(CAH03) biological and sport sciences,0.445736537699555,56
E28 University of East London,(CAH10) engineering and technology,0.536499972892333,1448
E28 University of East London,(CAH11) computing,0.563253814316596,144
E28 University of East London,"(CAH13) architecture, building and planning",0.476030859464559,404
E28 University of East London,(CAH15) social sciences,0.514984631160121,142
E28 University of East London,(CAH16) law,0.479255720705893,472
E28 University of East London,(CAH17) business and management,0.504869682371071,2924
E28 University of East London,(CAH22) education and teaching,0.395977951292225,457
E42 Edge Hill University,(CAH02) subjects allied to medicine,0.382853516517312,251
E42 Edge Hill University,(CAH03) biological and sport sciences,0.430113532058295,81
E42 Edge Hill University,(CAH09) mathematical sciences,0.445013411722884,13
E42 Edge Hill University,(CAH10) engineering and technology,0.562562024535353,248
E42 Edge Hill University,(CAH11) computing,0.549324073623157,42
E42 Edge Hill University,(CAH16) law,0.487242850940226,434
E42 Edge Hill University,(CAH17) business and management,0.493774680874567,1424
E42 Edge Hill University,(CAH22) education and teaching,0.382974864183573,1254
E56 The University of Edinburgh,(CAH01) medicine and dentistry,0.392974655009465,492
E56 The University of Edinburgh,(CAH02) subjects allied to medicine,0.410435911687328,67
E56 The University of Edinburgh,(CAH03) biological and sport sciences,0.485057467472849,361
E56 The University of Edinburgh,(CAH07) physical sciences,0.519613135862425,515
E56 The University of Edinburgh,(CAH09) mathematical sciences,0.558262590366215,687
E56 The University of Edinburgh,(CAH10) engineering and technology,0.568173698102131,940
E56 The University of Edinburgh,"(CAH13) architecture, building and planning",0.477162457434773,225
E56 The University of Edinburgh,(CAH15) social sciences,0.52509466351326,111
E56 The University of Edinburgh,(CAH16) law,0.470729759872993,1177
E56 The University of Edinburgh,(CAH17) business and management,0.487735844123228,710
E56 The University of Edinburgh,(CAH22) education and teaching,0.364466621741766,403
